,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
38,10/09/2017,Swansea,Newcastle United,"['0 ', ' 1']",Swansea,3,2,4,4,1.68,6.45,17.67,10.3,2.0,9.333333333333334,1.3333333333333333,Newcastle United,3,3,3,3,4.37,3.17,16.46,7.03,4.666666666666667,3.3333333333333335,1.0
39,11/09/2017,West Ham,Huddersfield,"['2 ', ' 0']",West Ham,3,2,10,0,2.72,7.54,13.38,8.46,3.3333333333333335,10.333333333333334,0.0,Huddersfield,3,4,0,7,3.52,2.76,8.92,10.58,4.0,3.3333333333333335,2.3333333333333335
40,15/09/2017,Bournemouth,Brighton,"['2 ', ' 1']",Bournemouth,4,1,8,0,2.14,7.61,13.8,8.77,5.0,9.25,0.0,Brighton,4,3,5,4,1.75,4.9,17.65,18.94,3.5,8.25,1.0
41,16/09/2017,Crystal Palace,Southampton,"['0 ', ' 1']",Crystal Palace,4,0,7,0,4.27,5.98,11.61,8.37,5.75,4.75,0.0,Southampton,4,3,4,5,5.49,4.03,8.15,13.68,9.5,2.5,1.25
42,16/09/2017,Huddersfield,Leicester,"['1 ', ' 1']",Huddersfield,4,4,2,7,3.86,4.71,8.69,10.06,3.25,3.25,1.75,Leicester,4,6,8,3,5.37,6.44,15.38,10.43,2.75,10.0,0.75
43,16/09/2017,Liverpool,Burnley,"['1 ', ' 1']",Liverpool,4,8,8,7,9.59,6.53,15.95,12.48,7.0,6.0,1.75,Burnley,4,5,4,7,3.04,6.09,12.51,8.62,3.5,6.75,1.75
44,16/09/2017,Newcastle United,Stoke,"['2 ', ' 1']",Newcastle United,4,4,3,6,5.4,4.66,14.0,7.26,4.0,4.0,1.5,Stoke,4,4,4,5,3.45,4.97,15.26,8.52,5.5,7.25,1.25
45,16/09/2017,Watford,Manchester City,"['0 ', ' 6']",Watford,4,7,3,8,5.21,4.67,12.31,10.13,4.25,7.75,2.0,Manchester City,4,10,2,10,7.92,1.96,6.99,30.06,13.25,2.75,2.5
46,16/09/2017,West Bromwich Albion,West Ham,"['0 ', ' 0']",West Bromwich Albion,4,4,4,7,3.58,3.13,16.58,9.81,3.5,5.0,1.75,West Ham,4,4,10,3,4.67,7.88,11.88,8.3,3.25,8.0,0.75
47,16/09/2017,Tottenham,Swansea,"['0 ', ' 0']",Tottenham,4,7,3,7,7.59,3.29,8.46,16.65,10.0,4.5,1.75,Swansea,4,2,5,4,3.16,7.48,14.93,10.04,3.0,7.5,1.0
48,17/09/2017,Chelsea,Arsenal,"['0 ', ' 0']",Chelsea,4,8,5,9,4.4,2.96,12.67,14.46,7.25,4.25,2.25,Arsenal,4,7,8,6,6.92,6.19,7.47,17.25,12.25,3.0,1.5
49,17/09/2017,Manchester United,Everton,"['4 ', ' 0']",Manchester United,4,12,2,10,10.75,3.1,9.15,15.94,9.0,4.25,2.5,Everton,4,2,6,4,2.8,4.76,13.0,12.76,4.25,10.75,1.0
50,23/09/2017,West Ham,Tottenham,"['2 ', ' 3']",West Ham,5,4,10,4,4.93,8.66,11.23,10.35,2.6,6.4,0.8,Tottenham,5,7,3,8,8.77,3.45,7.57,17.83,10.4,3.6,1.6
51,23/09/2017,Burnley,Huddersfield,"['0 ', ' 0']",Burnley,5,6,5,8,3.37,8.28,14.09,9.16,2.8,9.2,1.6,Huddersfield,5,5,3,8,4.56,5.95,9.28,10.97,3.2,3.6,1.6
52,23/09/2017,Everton,Bournemouth,"['2 ', ' 1']",Everton,5,2,10,4,3.86,8.05,12.19,12.12,3.6,9.6,0.8,Bournemouth,5,3,9,3,3.53,8.49,13.41,10.43,5.2,7.6,0.6
53,23/09/2017,Manchester City,Crystal Palace,"['5 ', ' 0']",Manchester City,5,16,2,13,11.92,2.76,7.25,29.95,13.8,2.4,2.6,Crystal Palace,5,0,8,0,6.3,7.1,11.84,8.54,6.6,6.4,0.0
54,23/09/2017,Southampton,Manchester United,"['0 ', ' 1']",Southampton,5,4,4,8,6.6,6.07,8.39,13.45,10.2,4.0,1.6,Manchester United,5,16,2,13,14.04,4.16,9.51,14.47,8.2,3.6,2.6
